EQ,PE,RE,IG CB,HY CB,GB,MONEY
1073697.2708613619,1118880.7911473762,1016602.0830563162,1106311.8764759924,1074823.4335479303,1116668.2811010464,996439.1547127215
1068020.9573003964,1110955.7025043943,1015246.3863542842,1110619.7019970801,1074513.2826625898,1118139.6473170272,996438.8779213545
1084516.5473386496,1133040.9041286136,1020863.0815464963,1110703.8984462023,1076584.572632039,1115336.512382075,996438.7118465652
1100493.4761148714,1157252.4396408487,1020031.6880303663,1102707.5627917573,1077855.3998647956,1104374.8685734742,996438.6288091821
1101170.1623767698,1161138.5982698104,1020221.9487003867,1107629.1206984792,1078850.0085562752,1110654.281786027,996438.6011300542
1099368.156536616,1156361.7699360664,1009476.0346887199,1103073.4777287198,1079331.3290456538,1101371.5874172014,996438.1859349168
1097136.8995191914,1138080.9940579785,1009846.6517897749,1099923.9041115274,1079610.8224696706,1100019.9482569334,996438.1582557984
1110311.874369259,1145024.0602793044,1014707.4860759025,1097315.476949708,1078366.3949925248,1102083.766352806,996438.2966514132
1110165.7347308632,1150910.6492179858,1012642.8428565859,1094724.274115245,1078402.0344739426,1104763.3903624534,996438.2689722915
1104126.8865496987,1148541.3578964279,1018605.665964881,1089991.0856584855,1076783.695884075,1099133.2003019685,996438.1859349251
1113101.5968581212,1152026.836603836,1009680.1461746163,1093539.412547839,1078094.924175068,1100489.2911425005,996438.1028958769
1105753.823246569,1146914.196143704,1019446.258835208,1096823.141821619,1077448.9817573507,1097573.8253197975,996438.1028958756
1098779.6990843972,1135721.8348274536,1039153.2981285407,1100470.1570966067,1077027.7644283455,1104668.0020452319,996435.5564171295
1099582.2611903313,1138654.9956315903,1041264.000502534,1100164.22469531,1076495.0125762057,1103447.628619575,996433.0653029107
1099187.0767140535,1137622.7106490203,1053861.616694443,1100648.421577015,1075891.3639556766,1102061.4253424753,996430.5465158735
1105098.5798454876,1143913.5353863447,1055645.6667489107,1105200.2880056784,1075908.335240618,1113671.613064016,996423.0730588346
1098034.1129969636,1141796.7307362435,1061628.8263301142,1109436.3126988597,1075603.4471433626,1115537.876698975,996420.6650118586
1101536.2001438846,1145943.5793514769,1057705.857880635,1101966.1391515462,1072679.4998298516,1112114.9631313502,996418.22929207
1096192.9979194195,1152287.4169860382,1074534.9833214714,1103746.8843883146,1071687.5812090859,1113795.256010993,996415.6828641109
1089037.0831089476,1141706.646605961,1077908.5134306327,1103493.629624595,1071246.8740158712,1115561.9895169232,996412.8873372986
1090892.6134838362,1126231.0593381815,1085797.9718899052,1104866.4890010487,1069380.9633247065,1118251.9790243278,996405.5800884133
1078135.6351554177,1111019.8015785925,1088698.412524522,1104429.0889171895,1068812.3204409042,1116976.4809225178,996400.4872971463
1055336.8666097366,1074736.9536796543,1069092.6847346723,1109128.913609004,1065459.8582651576,1114004.3378515393,996395.3391757666
1063807.5849053694,1091171.611300373,1098672.981526931,1115187.4587583346,1068665.844614194,1120700.6027933673,996390.0526914867
1081521.9262615158,1107815.117933044,1109129.5407832444,1119156.3355329526,1071281.542737455,1124023.1671014077,996384.7662355489
1079362.7021975275,1118161.7817934663,1114201.2697085727,1116744.807789392,1071346.6679833403,1124490.1261126178,996369.0726981353
1071353.461806938,1110244.2149641663,1093483.6015998465,1116080.8016620276,1071965.3495591898,1125519.7743644668,996363.8970618669
1107462.9800696776,1153387.8523776946,1115483.0968676275,1114527.1919057372,1075620.5161608655,1122827.8819620388,996358.7768063076
1137265.1640469644,1178918.8776397645,1130314.8852931873,1107769.5507541667,1077030.74739798,1116693.9782281814,996353.6289002909
1140198.2590503749,1193127.9915148274,1170563.9828529423,1104288.8312524003,1077410.5522377286,1114510.1290852234,996348.5917276756
1146240.6496418605,1189757.7312976543,1175025.2246737855,1105388.5332610991,1077179.0772162278,1116711.3449256953,996333.6460392198
1135666.6244740505,1181003.0704431671,1168026.6188850056,1104690.032868828,1077081.2903827704,1110465.0457176575,996328.6366435717
1129617.5675728691,1175793.5038935307,1146951.7473834655,1106322.3430159176,1078000.8992156708,1109928.0116359107,996323.7379772898
1136055.4128655507,1197421.9418067657,1152717.5676967832,1106783.9424663677,1080784.202312936,1113159.808971033,996318.8116592871
1131991.9004230236,1203111.0931141605,1149460.0942901946,1109077.2581370454,1082468.5809576856,1110758.8919382722,996313.8576901113
1140829.198168919,1213440.9122947797,1148342.2068456768,1107362.1779131293,1083093.9829153905,1104290.385654545,996298.9125226819
1149646.8605438166,1227412.2356324987,1170111.379513522,1109553.757386297,1086595.3186645983,1107262.2265851554,996293.9586523112
1173118.4105519548,1258711.9001956997,1170552.606672237,1107878.9108521827,1087097.707868789,1107938.9618343238,996289.0324816897
1166194.0990268122,1242696.9276852629,1159705.2903049719,1110215.9571486427,1089551.2554617657,1106997.965001073,996284.0509856053
1184845.1472759957,1252387.0744882612,1157625.6417865017,1106755.7779733215,1092216.7942687797,1100959.6891262091,996279.0971891306
1195003.5804707888,1272036.034914086,1157663.2471357898,1105198.588051424,1092203.042660544,1095428.809048117,996264.318593516
1177497.002106628,1255314.9253191066,1155138.6269101885,1108255.2915773196,1094411.0357650588,1099442.5995880414,996259.3648955687
1161466.516319744,1226971.0222154397,1156024.9211010365,1112021.9776429965,1091554.6345054223,1098832.3641003184,996253.7193723596
1152050.2016259355,1209780.0846384394,1148202.080095879,1117129.698492601,1089654.335165016,1103634.5350072987,996248.4613150589
1160784.403176584,1229613.9668494002,1148158.601406887,1118537.383014035,1089231.8373101992,1100381.0960667322,996243.2863057368
1167061.1784873276,1233836.3420070661,1159005.0036069013,1114886.0329041416,1090611.275811101,1097682.0576197868,996228.8403422985
1170413.9809243581,1237843.7082701381,1146781.7325912872,1111093.6240279553,1089463.323602998,1097767.444020408,996223.8868213089
1158047.0471836347,1222481.2365502368,1134161.3536276792,1113016.9083955365,1086427.5845449246,1098382.45760257,996218.9886712786
1160369.2995778436,1216824.5182028608,1123769.0532428545,1108630.7318255086,1086142.4220144812,1092931.9042361814,996214.1735642819
1167338.713462379,1222118.989138253,1115325.4192091557,1106371.6248864378,1088711.9625423625,1091489.2334755394,996209.2201163579
